region,week_end_date,historical_endogeneous,wILI
X,2010-09-25,1.1180299999999999,1.1180299999999999
X,2010-10-02,1.11806,1.11806
X,2010-10-09,1.1093899999999999,1.1093899999999999
X,2010-10-16,1.2434100000000001,1.2434100000000001
X,2010-10-23,1.25726,1.25726
X,2010-10-30,1.25734,1.25734
X,2010-11-06,1.43414,1.43414
X,2010-11-13,1.5183799999999998,1.5183799999999998
X,2010-11-20,1.61617,1.61617
X,2010-11-27,1.84378,1.84378
X,2010-12-04,1.72535,1.72535
X,2010-12-11,1.87923,1.87923
X,2010-12-18,2.3371,2.3371
X,2010-12-25,3.03533,3.03533
X,2011-01-01,3.136,3.136
X,2011-01-08,2.53336,2.53336
X,2011-01-15,2.91288,2.91288
X,2011-01-22,3.4449699999999996,3.4449699999999996
X,2011-01-29,4.16185,4.16185
X,2011-02-05,4.55159,4.55159
X,2011-02-12,4.46504,4.46504
X,2011-02-19,4.55124,4.55124
X,2011-02-26,4.0822,4.0822
X,2011-03-05,3.38812,3.38812
X,2011-03-12,2.99142,2.99142
X,2011-03-19,2.61542,2.61542
X,2011-03-26,2.09065,2.09065
X,2011-04-02,1.86146,1.86146
X,2011-04-09,1.6137700000000001,1.6137700000000001
X,2011-04-16,1.4219899999999999,1.4219899999999999
X,2011-04-23,1.3382,1.3382
X,2011-04-30,1.19995,1.19995
X,2011-05-07,1.14889,1.14889
X,2011-05-14,1.12194,1.12194
X,2011-05-21,1.06712,1.06712
X,2011-05-28,1.0505799999999998,1.0505799999999998
X,2011-06-04,1.1520299999999999,1.1520299999999999
X,2011-06-11,0.970975,0.970975
X,2011-06-18,0.894683,0.894683
X,2011-06-25,0.843568,0.843568
X,2011-07-02,0.815409,0.815409
X,2011-07-09,0.823052,0.823052
X,2011-07-16,0.674635,0.674635
X,2011-07-23,0.631883,0.631883
X,2011-07-30,0.641513,0.641513
X,2011-08-06,0.529813,0.529813
X,2011-08-13,0.644089,0.644089
X,2011-08-20,0.667718,0.667718
X,2011-08-27,0.7056680000000001,0.7056680000000001
X,2011-09-03,0.8041550000000001,0.8041550000000001
X,2011-09-10,0.907804,0.907804
X,2011-09-17,1.00555,1.00555
X,2011-09-24,1.03601,1.03601
X,2011-10-01,1.0758299999999998,1.0758299999999998
X,2011-10-08,1.1609200000000002,1.1609200000000002
X,2011-10-15,1.19785,1.19785
X,2011-10-22,1.27926,1.27926
X,2011-10-29,1.2919399999999999,1.2919399999999999
X,2011-11-05,1.42824,1.42824
X,2011-11-12,1.3980299999999999,1.3980299999999999
X,2011-11-19,1.45831,1.45831
X,2011-11-26,1.56548,1.56548
X,2011-12-03,1.34313,1.34313
X,2011-12-10,1.48139,1.48139
X,2011-12-17,1.63398,1.63398
X,2011-12-24,1.8312599999999999,1.8312599999999999
X,2011-12-31,2.10451,2.10451
X,2012-01-07,1.73625,1.73625
X,2012-01-14,1.55066,1.55066
X,2012-01-21,1.62891,1.62891
X,2012-01-28,1.7603799999999998,1.7603799999999998
X,2012-02-04,1.9272799999999999,1.9272799999999999
X,2012-02-11,1.9199400000000002,1.9199400000000002
X,2012-02-18,2.09951,2.09951
X,2012-02-25,2.2397299999999998,2.2397299999999998
X,2012-03-03,2.21921,2.21921
X,2012-03-10,2.16693,2.16693
X,2012-03-17,2.3891299999999998,2.3891299999999998
X,2012-03-24,1.9646599999999999,1.9646599999999999
X,2012-03-31,1.8422900000000002,1.8422900000000002
X,2012-04-07,1.6867400000000001,1.6867400000000001
X,2012-04-14,1.53136,1.53136
X,2012-04-21,1.3791200000000001,1.3791200000000001
X,2012-04-28,1.29515,1.29515
X,2012-05-05,1.39521,1.39521
X,2012-05-12,1.32522,1.32522
X,2012-05-19,1.23059,1.23059
X,2012-05-26,1.2302799999999998,1.2302799999999998
X,2012-06-02,1.2687700000000002,1.2687700000000002
X,2012-06-09,1.10782,1.10782
X,2012-06-16,1.09559,1.09559
X,2012-06-23,1.1103100000000001,1.1103100000000001
X,2012-06-30,1.10616,1.10616
X,2012-07-07,1.10816,1.10816
X,2012-07-14,0.999444,0.999444
X,2012-07-21,0.924199,0.924199
X,2012-07-28,0.949257,0.949257
X,2012-08-04,0.9789030000000001,0.9789030000000001
X,2012-08-11,0.925024,0.925024
X,2012-08-18,0.848456,0.848456
X,2012-08-25,1.04451,1.04451
X,2012-09-01,1.0986,1.0986
X,2012-09-08,1.22071,1.22071
X,2012-09-15,1.24976,1.24976
X,2012-09-22,1.22892,1.22892
X,2012-09-29,1.29393,1.29393
X,2012-10-06,1.23034,1.23034
X,2012-10-13,1.3278,1.3278
X,2012-10-20,1.33995,1.33995
X,2012-10-27,1.37842,1.37842
X,2012-11-03,1.50085,1.50085
X,2012-11-10,1.65163,1.65163
X,2012-11-17,1.7674599999999998,1.7674599999999998
X,2012-11-24,2.30609,2.30609
X,2012-12-01,2.16324,2.16324
X,2012-12-08,2.83038,2.83038
X,2012-12-15,3.43761,3.43761
X,2012-12-22,4.305540000000001,4.305540000000001
X,2012-12-29,6.06082,6.06082
X,2013-01-05,4.64931,4.64931
X,2013-01-12,4.32584,4.32584
X,2013-01-19,4.5111300000000005,4.5111300000000005
X,2013-01-26,4.2171,4.2171
X,2013-02-02,3.78956,3.78956
X,2013-02-09,3.2920599999999998,3.2920599999999998
X,2013-02-16,3.0197,3.0197
X,2013-02-23,2.7149900000000002,2.7149900000000002
X,2013-03-02,2.4845,2.4845
X,2013-03-09,2.57808,2.57808
X,2013-03-16,2.39237,2.39237
X,2013-03-23,2.06778,2.06778
X,2013-03-30,1.90281,1.90281
X,2013-04-06,1.6590200000000002,1.6590200000000002
X,2013-04-13,1.43006,1.43006
X,2013-04-20,1.27757,1.27757
X,2013-04-27,1.1900899999999999,1.1900899999999999
X,2013-05-04,1.09556,1.09556
X,2013-05-11,1.08589,1.08589
X,2013-05-18,1.0734299999999999,1.0734299999999999
X,2013-05-25,1.0167700000000002,1.0167700000000002
X,2013-06-01,1.04847,1.04847
X,2013-06-08,0.920349,0.920349
X,2013-06-15,0.9207790000000001,0.9207790000000001
X,2013-06-22,0.9043329999999999,0.9043329999999999
